Positive,Fixed,1,15V,5V,-,1.2V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223
Positive,Fixed,1,15V,3.3V,-,1.2V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,15V,5V,-,1.2V @ 800mA,800mA,10mA,-,75dB (120Hz),-,Over Current   Over Temperature,0°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,14V,1.8V,-,0.7V @ 1.5A,1.5A,180µA,80mA,72dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,14V,2.5V,-,0.7V @ 1.5A,1.5A,180µA,80mA,70dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,14V,5V,-,0.7V @ 1.5A,1.5A,180µA,80mA,64dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,14V,3.3V,-,0.7V @ 1.5A,1.5A,180µA,80mA,67dB (120Hz),Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,P²PAK (4 Leads + Tab),P2PAK
Positive,Fixed,1,14V,5V,-,0.7V @ 1.5A,1.5A,180µA,80mA,64dB (120Hz),Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-5   DPak (4 Leads + Tab)   TO-252AD,PPAK
Positive,Adjustable,1,14V,1.23V,13.3V,0.7V @ 1.5A,1.5A,180µA,80mA,75dB (120Hz),Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-5   DPak (4 Leads + Tab)   TO-252AD,PPAK
Positive,Fixed,1,6V,3.3V,-,0.4V @ 1.5A,1.5A,2.5mA,-,65dB ~ 55dB (120Hz ~ 1kHz),-,Over Current   Over Temperature,-40°C ~ 125°C (TJ),Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,6V,2.5V,-,0.1V @ 150mA,150mA,150µA,250µA,60dB ~ 50dB (1kHz ~ 10kHz),Enable,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,SC-74A   SOT-753,SOT-23-5
